Author_Id ,Poet Name,Birthdate,Location
101,William Wordsworth,1770-04-13,"Grasmere, England"
102,John Keats,None,"Hampstead, England"
103,Emily Dickinson,1830-12-10,"Amherst, Massachusetts"
104,Robert Frost,1874-03-26,"San Francisco, California"
105,"Alfred, Lord Tennyson",1809-08-04,"Somersby, England"
106,Maya Angelou,8 04 1928,"St. Louis, Missouri"
107,W. B. Yeats,1865-06-13,"Sandymount, Ireland"
108,Sylvia Plath,27 10 1932,"Boston, Massachusetts"
109,Langston Hughes,1 02 1902,"Joplin, Missouri"
110,Li Bai,0701-02-08,Tang Dynasty
111,Du Fu,0712-02-12,Tang Dynasty
112,Saadia Gaon,0882-01-01,"Fayyum, Egypt"
113,Ibn Khaldun,1332-07-23,"Tunis, Tunisia"
114,Murasaki Shikibu,None,Heian period
115,Rabindranath Tagore,1861-05-07,"Calcutta, India"
116,Pablo Neruda,12 07 1904,"Parral, Chile"
117,Hafez,1325-08-29,Shiraz
118,Oswald Mbuyamba,15 01 1934,Luangwa District
119,Aisha Buhari,17 01 1952,"Maiduguri, Nigeria"
