writer_id,name,birth_year,nationality,notable_work
1,Leo Tolstoy,1828,Russian,  War and Peace
2,Charles Dickens,1812,English,  Great Expectations
3,Fyodor Dostoevsky,1821,Russian,  Crime and Punishment
4,Mark Twain,1835,American,Adventures of Huckleberry Finn
5,Jane Austen,1775,English,Pride and Prejudice
6,George Orwell,1903,English,
7,Virginia Woolf,1882,English,To the Lighthouse
8,James Joyce,1882,Irish,Ulysses
9,Franz Kafka,1883,Austrian,  The Metamorphosis
10,Ernest Hemingway,1899,American,  The Old Man and the Sea
11,F. Scott Fitzgerald,1896,American,  The Great Gatsby
12,Marcel Proust,1871,French,  In Search of Lost Time
13,Thomas Mann,1875,German,  The Magic Mountain
14,Anton Chekhov,1860,Russian,  The Cherry Orchard
15,Herman Melville,1819,American,  Moby Dick
16,Emily Bronte,1818,English,  Wuthering Heights
17,Henry James,1843,American,The Turn of the Screw
18,Joseph Conrad,1857,Polish,  British Heart of Darkness
19,Robert Louis Stevenson,1850,Scottish,  Strange Case of Dr Jekyll and Mr Hyde
20,Katherine Mansfield,1888,New Zealander,  The Garden Party
21,Oscar Wilde,1854,Irish,  The Picture of Dorian Gray
22,Edgar Allan Poe,1809,American,  The Raven
23,Walt Whitman,1819,American,  Leaves of Grass
24,Louisa May Alcott,1832,American,Little Women
25,Harper Lee,1926,American,  To Kill a Mockingbird
26,William Faulkner,1897,American,  The Sound and the Fury
27,John Steinbeck,1902,American,  Grapes of Wrath
28,Aldous Huxley,1894,English,Brave New World
29,Gabriel Garcia Marquez,1927,Colombian,  One Hundred Years of Solitude
30,Isaac Asimov,1920,American,Foundation
31,Arthur Conan Doyle,1859,Scottish,  Sherlock Holmes
32,Rudyard Kipling,1865,English,  The Jungle Book
33,H.G. Wells,1866,English,  The War of the Worlds
34,Agatha Christie,1890,English,Murder on the Orient Express
35,D.H. Lawrence,1885,English,  Lady Chatterley's Lover
36,T.S. Eliot,1888,American,  British The Waste Land
37,Sylvia Plath,1932,American,The Bell Jar
38,Jack London,1876,American,  The Call of the Wild
39,Zora Neale Hurston,1891,American,Their Eyes Were Watching God
40,Ralph Ellison,1914,American,  Invisible Man
