shipment_id,customer_name,pickup_address,dropoff_address,shipment_date,shipment_time,shipment_cost
1,ABC Logistics,123 Main Street,456 Elm Street,2023-10-05,10:00 AM,120
2,XYZ Enterprises,789 Maple Avenue,101 Oak Street,2023-10-06,02:00 PM,150
3,DEF Shipping,567 Oak Street,987 Pine Avenue,2023-10-07,09:00 AM,180
4,LMN Transportation,345 Maple Avenue,678 Elm Street,2023-10-08,03:00 PM,135
5,GHI Delivery,987 Pine Avenue,234 Main Street,2023-10-09,11:00 AM,105
6,JKL Express,678 Elm Street,567 Oak Street,2023-10-10,04:00 PM,145
7,MNO Courier,234 Main Street,789 Maple Avenue,2023-10-11,12:00 PM,195
8,PQR Delivery,567 Oak Street,345 Maple Avenue,2023-10-12,05:00 AM,165
9,STU Express,987 Pine Avenue,678 Elm Street,2023-10-13,01:00 PM,115
10,VWX Courier,123 Main Street,456 Elm Street,2023-10-14,06:00 PM,175
11,YZJ Delivery,345 Maple Avenue,789 Maple Avenue,2023-10-15,02:00 AM,125
12,CAB Express,567 Oak Street,987 Pine Avenue,2023-10-16,07:00 PM,185
13,EDF Courier,678 Elm Street,123 Main Street,2023-10-17,03:00 AM,135
14,FGH Delivery,456 Elm Street,234 Main Street,2023-10-18,08:00 PM,205
15,HIJ Express,789 Pine Avenue,987 Pine Avenue,2023-10-19,04:00 AM,145
16,IJK Courier,123 Main Street,567 Oak Street,2023-10-20,09:00 PM,195
17,KLM Delivery,234 Main Street,345 Maple Avenue,2023-10-21,05:00 AM,155
18,MNO Express,345 Maple Avenue,678 Elm Street,2023-10-22,10:00 PM,215
19,OPQ Courier,567 Oak Street,456 Elm Street,2023-10-23,06:00 AM,165
20,RST Delivery,678 Elm Street,123 Main Street,2023-10-24,11:00 PM,115
21,TUV Express,987 Pine Avenue,234 Main Street,2023-10-25,07:00 AM,175
22,VWX Courier,456 Elm Street,345 Maple Avenue,2023-10-26,02:00 PM,125
23,XYZ Delivery,789 Pine Avenue,678 Elm Street,2023-10-27,03:00 PM,165
24,HIJ Express,345 Maple Avenue,345 Maple Avenue,2023-10-28,02:00 PM,135
25,IJK Courier,123 Main Street,101 Oak Street,2023-10-29,04:00 AM,195
26,KLM Delivery,987 Pine Avenue,987 Pine Avenue,2023-10-30,04:00 AM,215
27,MNO Express,456 Elm Street,101 Oak Street,2023-10-31,10:00 AM,150
28,OPQ Courier,234 Main Street,101 Oak Street,2023-11-01,02:00 PM,180
29,RST Delivery,567 Oak Street,101 Oak Street,2023-11-02,09:00 AM,205
30,TUV Express,234 Main Street,987 Pine Avenue,2023-11-03,03:00 PM,105
31,VWX Courier,345 Maple Avenue,456 Elm Street,2023-11-04,11:00 AM,125
32,XYZ Delivery,987 Pine Avenue,345 Maple Avenue,2023-11-05,11:00 AM,165
