date,category,description,amount
2020-01-05,Supplies,Cleaning products,150
2020-01-08,Labor,Wages for cleaners ,300
2020-01-12,Marketing,Online advertising (Facebook),50
2020-01-15,Supplies,Trash bags and gloves,25
2020-01-20,Labor,Wages for cleaners ,425
2020-01-26,Vehicle,Gas for company van,60
2020-01-29,Marketing,Flyer printing,75
2020-02-01,Insurance,Liability insurance premium,250
2020-02-02,Supplies,Vacuum cleaner filters,30
2020-02-05,Labor,Wages for cleaners ,300
2020-02-09,Office,Internet bill,50
2020-02-10,Equipment,Repair for floor buffer,125
2020-02-14,Marketing,Website domain renewal,20
2020-02-15,Supplies,Mop heads and brooms,40
2020-02-16,Labor,Wages for cleaners ,275
2020-02-19,Cleaning Products,Disinfectant wipes,60
2020-02-20,Marketing,Social media promotion,35
2020-02-22,Office,Phone bill,40
2020-02-23,Labor,Wages for cleaners ,425
2020-02-24,Vehicle,Oil change for company van,55
2020-02-27,Supplies,Microfiber cloths,20
2020-02-28,Marketing,Local newspaper ad,100
2020-02-29,Labor,Wages for cleaners ,425
2020-03-01,Office,Cleaning supplies for office,30
2020-03-02,Vehicle,Car wash for company van,25
2020-03-03,Marketing,Email marketing campaign,75
2020-03-06,Labor,Wages for cleaners ,275
2020-03-07,Supplies,Paper towels and toilet paper,45
2020-03-08,Equipment,Replacement vacuum cleaner,300
2020-03-09,Insurance,Workers' compensation insurance,150
2020-03-10,Marketing,Business cards printing,80
