State,City,Median_Home_Price_2006,Median_Home_Price_2008,Foreclosure_Rate_2007,Foreclosure_Rate_2009,Unemployment_Rate_2007,Unemployment_Rate_2009,Median_Household_Income_2006,Median_Household_Income_2008
CA,Los Angeles,"$520,000","$430,000",1.50%,7.20%,4.50%,10.30%,"$78,000","$65,000"
FL,Miami,"$380,000","$290,000",2.80%,9.50%,4.20%,11.70%,"$55,000","$48,000"
NV,Las Vegas,"$410,000","$310,000",3.10%,12.40%,5.70%,14.20%,"$62,000","$51,000"
AZ,Phoenix,"$250,000","$200,000",1.20%,6.80%,3.90%,9.60%,"$58,000","$49,000"
CA,San Diego,"$480,000","$390,000",1.80%,8.10%,4.70%,11.00%,"$72,000","$60,000"
FL,Orlando,"$220,000","$180,000",2.10%,8.70%,4.10%,10.90%,"$52,000","$44,000"
CA,San Jose,"$750,000","$620,000",1.00%,5.40%,4.30%,8.20%,"$95,000","$80,000"
NV,Reno,"$340,000","$270,000",2.40%,9.80%,5.40%,12.90%,"$60,000","$50,000"
CA,Sacramento,"$320,000","$270,000",1.40%,7.10%,4.80%,10.50%,"$65,000","$56,000"
FL,Tampa,"$210,000","$170,000",2.60%,9.20%,4.00%,11.40%,"$50,000","$42,000"
TX,Dallas,"$280,000","$230,000",1.90%,9.20%,4.50%,11.40%,"$55,000","$42,000"
