"commission_id","employee_id","sale_id","commission_amount","created_at"
1,4,17,120.00,2025-10-18 14:19:34.263
2,2,5,120.00,2025-10-18 14:52:46.269
3,2,10,60.00,2025-10-18 14:54:27.436
4,2,16,160.00,2025-10-18 14:55:43.255
5,3,14,160.00,2025-10-18 14:59:04.201
6,3,15,160.00,2025-10-18 14:59:15.537
7,5,7,120.00,2025-11-24 17:46:00.888
8,6,8,134.93,2025-11-24 17:46:12.864
9,5,23,12.99,2025-11-24 21:49:42.061
10,3,18,89.90,2025-11-26 18:24:34.133
11,4,19,9.95,2025-11-26 18:24:47.796
15,3,24,179.90,2025-11-28 10:42:30.788
16,6,25,300.00,2025-11-28 10:42:30.788
17,5,26,29.93,2025-11-28 10:42:30.788
18,3,27,9.95,2025-11-28 10:42:30.788
19,2,28,134.85,2025-11-28 10:42:30.788
20,4,29,115.80,2025-11-28 10:42:30.788
21,3,30,89.95,2025-11-28 10:42:30.788
22,4,31,179.90,2025-11-28 10:42:30.788
23,6,32,4.98,2025-11-28 10:42:30.788
24,4,33,24.88,2025-11-28 10:42:30.788
25,4,34,25.98,2025-11-28 10:42:30.788
26,2,35,49.88,2025-11-28 10:42:30.788
27,5,36,52.43,2025-11-28 10:42:30.788
28,5,37,19.90,2025-11-28 10:42:30.788
29,5,38,159.80,2025-11-28 10:42:30.788
30,4,39,179.90,2025-11-28 10:42:30.788
31,3,40,199.75,2025-11-28 10:42:30.788
32,2,41,224.88,2025-11-28 10:42:30.788
33,3,42,120.00,2025-11-28 10:42:30.788
34,6,43,32.48,2025-11-28 10:42:30.788
35,5,44,134.93,2025-11-28 10:42:30.788
36,2,45,17.48,2025-11-28 10:42:30.788
37,3,46,144.75,2025-11-28 10:42:30.788
38,2,47,134.93,2025-11-28 10:42:30.788
39,2,48,9.98,2025-11-28 10:42:30.788
40,6,49,28.95,2025-11-28 10:42:30.788
41,4,50,179.85,2025-11-28 10:42:30.788
42,3,51,29.93,2025-11-28 10:42:30.788
43,3,52,160.00,2025-11-28 10:42:30.788
44,3,53,180.00,2025-11-28 10:42:30.788
45,3,54,300.00,2025-11-28 10:42:30.788
46,2,55,134.93,2025-11-28 10:42:30.788
47,4,56,240.00,2025-11-28 10:42:30.788
48,6,57,179.80,2025-11-28 10:42:30.788
49,2,58,134.93,2025-11-28 10:42:30.788
50,5,59,19.90,2025-11-28 10:42:30.788
51,6,60,29.93,2025-11-28 10:42:30.788
52,2,61,224.88,2025-11-28 10:42:30.788
53,3,62,49.80,2025-11-28 10:42:30.788
54,5,63,86.85,2025-11-28 10:42:30.788
55,5,64,89.90,2025-11-28 10:42:30.788
56,4,65,39.90,2025-11-28 10:42:30.788
57,5,66,12.45,2025-11-28 10:42:30.788
58,4,67,49.88,2025-11-28 10:42:30.788
59,5,68,86.85,2025-11-28 10:42:30.788
60,6,69,25.35,2025-11-28 10:42:30.788
61,5,70,115.80,2025-11-28 10:42:30.788
62,6,71,224.88,2025-11-28 10:42:30.788
63,6,72,19.95,2025-11-28 10:42:30.788
64,3,73,42.25,2025-11-28 10:42:30.788
65,6,74,119.90,2025-11-28 10:42:30.788
66,6,75,180.00,2025-11-28 10:42:30.788
67,2,76,200.00,2025-11-28 10:42:30.788
68,6,77,119.90,2025-11-28 10:42:30.788
69,2,78,119.90,2025-11-28 10:42:30.788
70,6,79,44.95,2025-11-28 10:42:30.788
71,4,80,4.98,2025-11-28 10:42:30.788
72,5,81,119.90,2025-11-28 10:42:30.788
73,4,82,40.00,2025-11-28 10:42:30.788
74,4,83,49.80,2025-11-28 10:42:30.788
75,4,84,179.80,2025-11-28 10:42:30.788
76,3,85,39.90,2025-11-28 10:42:30.788
77,4,86,37.35,2025-11-28 10:42:30.788
78,5,87,6.50,2025-11-28 10:42:30.788
79,4,88,25.98,2025-11-28 10:42:30.788
80,5,89,240.00,2025-11-28 10:42:30.788
81,6,90,160.00,2025-11-28 10:42:30.788
82,2,91,79.90,2025-11-28 10:48:23.902
83,3,92,300.00,2025-11-28 10:48:23.902
84,4,93,89.95,2025-11-28 10:48:23.902
85,2,94,80.00,2025-11-28 10:48:23.902
86,3,95,19.49,2025-11-28 10:48:23.902
87,4,96,159.80,2025-11-28 10:48:23.902
88,4,97,299.75,2025-11-28 10:48:23.902
89,4,98,200.00,2025-11-28 10:48:23.902
90,3,99,179.85,2025-11-28 10:48:23.902
91,5,100,39.95,2025-11-28 10:48:23.902
92,4,101,49.80,2025-11-28 10:48:23.902
93,6,102,4.98,2025-11-28 10:48:23.902
94,2,103,32.48,2025-11-28 10:48:23.902
95,6,104,25.98,2025-11-28 10:48:23.902
96,4,105,87.38,2025-11-28 10:48:23.902
97,3,106,24.90,2025-11-28 10:48:23.902
98,6,107,119.90,2025-11-28 10:48:23.902
99,6,108,60.00,2025-11-28 10:48:23.902
100,6,109,86.85,2025-11-28 10:48:23.902
101,4,110,57.90,2025-11-28 10:48:23.902
102,5,111,24.90,2025-11-28 18:12:26.594
103,5,112,25.98,2025-11-28 18:12:26.594
104,6,113,59.95,2025-11-28 18:12:26.594
105,6,114,25.98,2025-11-28 18:12:26.594
106,4,115,80.00,2025-11-28 18:12:26.594
107,5,116,115.80,2025-11-28 18:12:26.594
108,3,117,119.85,2025-11-28 18:12:26.594
109,5,118,299.75,2025-11-28 18:12:26.594
110,6,119,179.85,2025-11-28 18:12:26.594
